Date,Location,Age,Count
1/10/1986,PRH,COW,7
1/10/1986,PRH,PUP,4
1/10/1986,PRH,IMM,1
1/20/1986,PRH,BULL-SA4,1
1/20/1986,PRH,SA1-3,4
1/20/1986,PRH,COW,11
1/20/1986,PRH,PUP,3
1/20/1986,PRH,IMM,1
1/25/1986,PRH,BULL-SA4,1
1/25/1986,PRH,SA1-3,4
1/25/1986,PRH,COW,19
1/25/1986,PRH,PUP,14
2/1/1986,PRH,BULL-SA4,1
2/1/1986,PRH,SA1-3,2
2/1/1986,PRH,COW,15
2/1/1986,PRH,PUP,9
2/1/1986,PRH,WNR,3
2/5/1986,PRH,BULL-SA4,2
2/5/1986,PRH,SA1-3,5
2/5/1986,PRH,COW,17
2/5/1986,PRH,PUP,8
2/5/1986,PRH,WNR,4
2/7/1986,PRH,BULL-SA4,2
2/7/1986,PRH,SA1-3,2
2/7/1986,PRH,COW,18
2/7/1986,PRH,PUP,8
2/7/1986,PRH,WNR,4
2/21/1986,PRH,BULL-SA4,2
2/21/1986,PRH,SA1-3,4
2/21/1986,PRH,COW,6
2/21/1986,PRH,PUP,7
2/21/1986,PRH,WNR,7
2/28/1986,PRH,BULL-SA4,1
2/28/1986,PRH,SA1-3,1
2/28/1986,PRH,COW,1
2/28/1986,PRH,PUP,1
2/28/1986,PRH,WNR,10
3/14/1986,PRH,SA1-3,2
3/14/1986,PRH,IMM,1
11/18/1986,PRH,SA1-3,3
11/18/1986,PRH,IMM,11
12/9/1986,PRH,BULL-SA4,1
12/9/1986,PRH,SA1-3,5
12/9/1986,PRH,IMM,5
12/17/1986,PRH,SA1-3,1
12/17/1986,PRH,IMM,5
1/6/1987,PRH,BULL-SA4,1
1/6/1987,PRH,SA1-3,3
1/6/1987,PRH,COW,6
1/6/1987,PRH,PUP,1
1/6/1987,PRH,IMM,2
1/8/1987,PRH,BULL-SA4,1
1/8/1987,PRH,SA1-3,12
1/8/1987,PRH,COW,7
1/8/1987,PRH,PUP,4
1/8/1987,PRH,IMM,3
1/12/1987,PRH,BULL-SA4,3
1/12/1987,PRH,SA1-3,11
1/12/1987,PRH,COW,12
1/12/1987,PRH,PUP,8
1/19/1987,PRH,BULL-SA4,2
1/19/1987,PRH,SA1-3,10
1/19/1987,PRH,COW,12
1/19/1987,PRH,PUP,10
1/19/1987,PRH,YRLNG,1
1/20/1987,PRH,BULL-SA4,1
1/20/1987,PRH,SA1-3,2
1/20/1987,PRH,COW,15
1/20/1987,PRH,PUP,11
1/20/1987,PRH,IMM,1
1/22/1987,PRH,BULL-SA4,2
1/22/1987,PRH,SA1-3,3
1/22/1987,PRH,COW,20
1/22/1987,PRH,PUP,14
1/22/1987,PRH,IMM,2
1/26/1987,PRH,BULL-SA4,1
1/26/1987,PRH,SA1-3,5
1/26/1987,PRH,COW,22
1/26/1987,PRH,PUP,12
1/26/1987,PRH,WNR,1
1/29/1987,PRH,BULL-SA4,2
1/29/1987,PRH,SA1-3,3
1/29/1987,PRH,COW,20
1/29/1987,PRH,PUP,14
1/29/1987,PRH,WNR,4
1/29/1987,PRH,IMM,2
2/5/1987,PRH,BULL-SA4,3
2/5/1987,PRH,SA1-3,4
2/5/1987,PRH,COW,19
2/5/1987,PRH,PUP,15
2/5/1987,PRH,WNR,5
2/5/1987,PRH,IMM,1
2/7/1987,PRH,BULL-SA4,3
2/7/1987,PRH,SA1-3,4
2/7/1987,PRH,COW,17
2/7/1987,PRH,PUP,15
2/7/1987,PRH,WNR,2
2/21/1987,PRH,BULL-SA4,1
2/21/1987,PRH,SA1-3,2
2/21/1987,PRH,COW,7
2/21/1987,PRH,PUP,7
2/21/1987,PRH,WNR,1
