Date,Location,Age,Count
2/14/1985,PR Headlands,BULL-SA4,1
2/14/1985,PR Headlands,SA1-3,3
2/14/1985,PR Headlands,COW,14
2/14/1985,PR Headlands,PUP,12
2/14/1985,PR Headlands,DEADPUP,2
2/14/1985,PR Headlands,WNR,2
2/18/1985,PR Headlands,BULL-SA4,2
2/18/1985,PR Headlands,SA1-3,1
2/18/1985,PR Headlands,COW,11
2/18/1985,PR Headlands,PUP,9
2/18/1985,PR Headlands,DEADPUP,2
2/18/1985,PR Headlands,WNR,4
1/3/1986,PR Headlands,BULL-SA4,1
1/3/1986,PR Headlands,COW,5
1/3/1986,PR Headlands,PUP,1
1/8/1986,PR Headlands,BULL-SA4,1
1/8/1986,PR Headlands,SA1-3,12
1/8/1986,PR Headlands,COW,7
1/8/1986,PR Headlands,PUP,4
1/8/1986,PR Headlands,IMM,3
1/10/1986,PR Headlands,BULL-SA4,1
1/10/1986,PR Headlands,SA1-3,4
1/10/1986,PR Headlands,COW,7
1/10/1986,PR Headlands,PUP,4
1/10/1986,PR Headlands,IMM,1
1/20/1986,PR Headlands,BULL-SA4,1
1/20/1986,PR Headlands,SA1-3,4
1/20/1986,PR Headlands,COW,11
1/20/1986,PR Headlands,PUP,3
1/20/1986,PR Headlands,IMM,1
1/25/1986,PR Headlands,BULL-SA4,1
1/25/1986,PR Headlands,SA1-3,4
1/25/1986,PR Headlands,COW,19
1/25/1986,PR Headlands,PUP,14
2/1/1986,PR Headlands,BULL-SA4,1
2/1/1986,PR Headlands,SA1-3,2
2/1/1986,PR Headlands,COW,15
2/1/1986,PR Headlands,PUP,9
2/1/1986,PR Headlands,WNR,3
2/5/1986,PR Headlands,BULL-SA4,2
2/5/1986,PR Headlands,SA1-3,5
2/5/1986,PR Headlands,COW,17
2/5/1986,PR Headlands,PUP,8
2/5/1986,PR Headlands,WNR,4
2/7/1986,PR Headlands,BULL-SA4,2
2/7/1986,PR Headlands,SA1-3,2
2/7/1986,PR Headlands,COW,18
2/7/1986,PR Headlands,PUP,8
2/7/1986,PR Headlands,WNR,4
2/21/1986,PR Headlands,BULL-SA4,2
2/21/1986,PR Headlands,SA1-3,4
2/21/1986,PR Headlands,COW,6
2/21/1986,PR Headlands,PUP,7
2/21/1986,PR Headlands,WNR,7
2/28/1986,PR Headlands,BULL-SA4,1
2/28/1986,PR Headlands,SA1-3,1
2/28/1986,PR Headlands,COW,1
2/28/1986,PR Headlands,PUP,1
2/28/1986,PR Headlands,WNR,10
3/14/1986,PR Headlands,SA1-3,2
3/14/1986,PR Headlands,IMM,1
11/18/1986,PR Headlands,SA1-3,3
11/18/1986,PR Headlands,IMM,11
12/9/1986,PR Headlands,BULL-SA4,1
12/9/1986,PR Headlands,SA1-3,5
12/9/1986,PR Headlands,IMM,5
12/17/1986,PR Headlands,SA1-3,1
12/17/1986,PR Headlands,IMM,5
1/6/1987,PR Headlands,BULL-SA4,1
1/6/1987,PR Headlands,SA1-3,3
1/6/1987,PR Headlands,COW,6
1/6/1987,PR Headlands,PUP,1
1/6/1987,PR Headlands,IMM,2
1/8/1987,PR Headlands,BULL-SA4,1
1/8/1987,PR Headlands,SA1-3,12
1/8/1987,PR Headlands,COW,7
1/8/1987,PR Headlands,PUP,4
1/8/1987,PR Headlands,IMM,3
1/12/1987,PR Headlands,BULL-SA4,3
1/12/1987,PR Headlands,SA1-3,11
1/12/1987,PR Headlands,COW,12
1/12/1987,PR Headlands,PUP,8
1/19/1987,PR Headlands,BULL-SA4,2
1/19/1987,PR Headlands,SA1-3,10
1/19/1987,PR Headlands,COW,12
1/19/1987,PR Headlands,PUP,10
1/19/1987,PR Headlands,YRLNG,1
1/20/1987,PR Headlands,BULL-SA4,1
1/20/1987,PR Headlands,SA1-3,2
1/20/1987,PR Headlands,COW,15
1/20/1987,PR Headlands,PUP,11
1/20/1987,PR Headlands,IMM,1
1/22/1987,PR Headlands,BULL-SA4,2
1/22/1987,PR Headlands,SA1-3,3
1/22/1987,PR Headlands,COW,20
1/22/1987,PR Headlands,PUP,14
1/22/1987,PR Headlands,IMM,2
1/26/1987,PR Headlands,BULL-SA4,1
1/26/1987,PR Headlands,SA1-3,5
1/26/1987,PR Headlands,COW,22
1/26/1987,PR Headlands,PUP,12
1/26/1987,PR Headlands,WNR,1
1/29/1987,PR Headlands,BULL-SA4,2
1/29/1987,PR Headlands,SA1-3,3
1/29/1987,PR Headlands,COW,20
1/29/1987,PR Headlands,PUP,14
1/29/1987,PR Headlands,WNR,4
1/29/1987,PR Headlands,IMM,2
2/5/1987,PR Headlands,BULL-SA4,3
2/5/1987,PR Headlands,SA1-3,4
2/5/1987,PR Headlands,COW,19
2/5/1987,PR Headlands,PUP,15
2/5/1987,PR Headlands,WNR,5
2/5/1987,PR Headlands,IMM,1
2/7/1987,PR Headlands,BULL-SA4,3
2/7/1987,PR Headlands,SA1-3,4
2/7/1987,PR Headlands,COW,17
2/7/1987,PR Headlands,PUP,15
2/7/1987,PR Headlands,WNR,2
2/21/1987,PR Headlands,BULL-SA4,1
2/21/1987,PR Headlands,SA1-3,2
2/21/1987,PR Headlands,COW,7
2/21/1987,PR Headlands,PUP,7
2/21/1987,PR Headlands,WNR,1
2/26/1987,PR Headlands,BULL-SA4,2
2/26/1987,PR Headlands,COW,1
2/26/1987,PR Headlands,PUP,1
2/26/1987,PR Headlands,WNR,8
3/7/1987,PR Headlands,BULL-SA4,1
3/7/1987,PR Headlands,SA1-3,1
3/7/1987,PR Headlands,COW,1
3/7/1987,PR Headlands,PUP,1
3/7/1987,PR Headlands,WNR,8
3/18/1987,PR Headlands,SA1-3,2
3/18/1987,PR Headlands,WNR,5
3/26/1987,PR Headlands,BULL-SA4,1
3/26/1987,PR Headlands,IMM,19
12/17/1987,PR Headlands,SA1-3,8
12/17/1987,PR Headlands,IMM,1
1/5/1988,PR Headlands,BULL-SA4,1
1/5/1988,PR Headlands,COW,6
1/5/1988,PR Headlands,PUP,1
1/5/1988,PR Headlands,IMM,1
1/18/1988,PR Headlands,BULL-SA4,1
1/18/1988,PR Headlands,SA1-3,4
1/18/1988,PR Headlands,COW,16
1/18/1988,PR Headlands,PUP,12
1/18/1988,PR Headlands,IMM,1
1/29/1988,PR Headlands,BULL-SA4,1
1/29/1988,PR Headlands,COW,30
1/29/1988,PR Headlands,PUP,26
1/29/1988,PR Headlands,IMM,1
1/29/1988,South Beach,SA1-3,3
2/5/1988,PR Headlands,BULL-SA4,1
2/5/1988,PR Headlands,SA1-3,4
2/5/1988,PR Headlands,COW,28
2/5/1988,PR Headlands,PUP,29
2/12/1988,PR Headlands,BULL-SA4,2
2/12/1988,PR Headlands,SA1-3,8
2/12/1988,PR Headlands,COW,18
2/12/1988,PR Headlands,PUP,19
2/12/1988,PR Headlands,WNR,15
2/18/1988,PR Headlands,BULL-SA4,3
2/18/1988,PR Headlands,SA1-3,6
2/18/1988,PR Headlands,COW,14
2/18/1988,PR Headlands,PUP,16
2/18/1988,PR Headlands,WNR,14
2/26/1988,PR Headlands,BULL-SA4,1
2/26/1988,PR Headlands,SA1-3,7
2/26/1988,PR Headlands,COW,8
2/26/1988,PR Headlands,PUP,8
2/26/1988,PR Headlands,WNR,17
3/10/1988,PR Headlands,BULL-SA4,1
3/10/1988,PR Headlands,SA1-3,3
3/10/1988,PR Headlands,WNR,32
12/23/1988,PR Headlands,BULL-SA4,1
12/23/1988,PR Headlands,SA1-3,3
12/23/1988,PR Headlands,IMM,1
12/23/1988,South Beach,BULL-SA4,1
12/30/1988,PR Headlands,BULL-SA4,1
12/30/1988,PR Headlands,SA1-3,3
12/30/1988,PR Headlands,COW,2
12/30/1988,PR Headlands,IMM,1
12/30/1988,South Beach,BULL-SA4,1
1/1/1989,PR Headlands,BULL-SA4,1
1/1/1989,PR Headlands,SA1-3,7
1/1/1989,PR Headlands,COW,5
1/1/1989,PR Headlands,IMM,1
1/1/1989,South Beach,BULL-SA4,1
1/6/1989,PR Headlands,BULL-SA4,1
1/6/1989,PR Headlands,SA1-3,10
1/6/1989,PR Headlands,COW,13
1/6/1989,PR Headlands,PUP,3
1/6/1989,PR Headlands,IMM,2
1/12/1989,PR Headlands,BULL-SA4,2
1/12/1989,PR Headlands,SA1-3,6
1/12/1989,PR Headlands,COW,21
1/12/1989,PR Headlands,PUP,9
1/12/1989,PR Headlands,IMM,1
1/17/1989,PR Headlands,BULL-SA4,2
1/17/1989,PR Headlands,SA1-3,7
1/17/1989,PR Headlands,COW,31
1/17/1989,PR Headlands,PUP,23
1/17/1989,PR Headlands,IMM,2
1/20/1989,PR Headlands,BULL-SA4,2
1/20/1989,PR Headlands,SA1-3,4
1/20/1989,PR Headlands,COW,34
1/20/1989,PR Headlands,PUP,25
1/20/1989,PR Headlands,IMM,2
1/27/1989,PR Headlands,BULL-SA4,4
1/27/1989,PR Headlands,SA1-3,4
1/27/1989,PR Headlands,COW,39
1/27/1989,PR Headlands,PUP,35
1/27/1989,South Beach,SA1-3,2
2/3/1989,PR Headlands,BULL-SA4,2
2/3/1989,PR Headlands,SA1-3,6
2/3/1989,PR Headlands,COW,39
2/3/1989,PR Headlands,PUP,36
2/3/1989,PR Headlands,WNR,1
2/10/1989,PR Headlands,BULL-SA4,4
2/10/1989,PR Headlands,SA1-3,5
2/10/1989,PR Headlands,COW,26
2/10/1989,PR Headlands,PUP,24
2/10/1989,PR Headlands,WNR,19
2/10/1989,South Beach,SA1-3,2
2/17/1989,PR Headlands,BULL-SA4,3
2/17/1989,PR Headlands,SA1-3,5
2/17/1989,PR Headlands,COW,17
2/17/1989,PR Headlands,PUP,17
2/17/1989,PR Headlands,WNR,27
2/17/1989,PR Headlands,IMM,1
2/24/1989,PR Headlands,BULL-SA4,2
2/24/1989,PR Headlands,SA1-3,6
2/24/1989,PR Headlands,COW,11
2/24/1989,PR Headlands,PUP,11
2/24/1989,PR Headlands,WNR,32
3/3/1989,PR Headlands,BULL-SA4,3
3/3/1989,PR Headlands,SA1-3,5
3/3/1989,PR Headlands,COW,5
3/3/1989,PR Headlands,PUP,4
3/3/1989,PR Headlands,WNR,41
3/7/1989,PR Headlands,BULL-SA4,2
3/7/1989,PR Headlands,SA1-3,6
3/7/1989,PR Headlands,COW,3
3/7/1989,PR Headlands,WNR,45
3/24/1989,PR Headlands,WNR,30
3/24/1989,PR Headlands,IMM,6
3/30/1989,PR Headlands,WNR,31
3/30/1989,PR Headlands,IMM,21
11/9/1989,PR Headlands,SA1-3,16
11/9/1989,PR Headlands,COW,1
11/9/1989,PR Headlands,IMM,10
12/20/1989,PR Headlands,BULL-SA4,2
12/20/1989,PR Headlands,SA1-3,2
12/20/1989,PR Headlands,COW,1
12/20/1989,PR Headlands,IMM,14
12/26/1989,PR Headlands,BULL-SA4,4
12/26/1989,PR Headlands,SA1-3,3
12/26/1989,PR Headlands,COW,3
12/26/1989,PR Headlands,IMM,49
1/10/1990,PR Headlands,BULL-SA4,4
1/10/1990,PR Headlands,SA1-3,5
1/10/1990,PR Headlands,COW,19
1/10/1990,PR Headlands,PUP,6
1/10/1990,PR Headlands,IMM,19
1/10/1990,South Beach,SA1-3,5
1/15/1990,PR Headlands,BULL-SA4,4
1/15/1990,PR Headlands,SA1-3,1
1/15/1990,PR Headlands,COW,30
1/15/1990,PR Headlands,PUP,14
1/15/1990,PR Headlands,IMM,7
1/15/1990,South Beach,BULL-SA4,2
1/15/1990,South Beach,SA1-3,2
1/15/1990,South Beach,IMM,2
1/20/1990,PR Headlands,BULL-SA4,4
1/20/1990,PR Headlands,SA1-3,1
1/20/1990,PR Headlands,COW,39
1/20/1990,PR Headlands,PUP,27
1/20/1990,PR Headlands,IMM,10
1/20/1990,South Beach,BULL-SA4,1
1/20/1990,South Beach,IMM,1
1/21/1990,PR Headlands,BULL-SA4,4
1/21/1990,PR Headlands,COW,40
1/21/1990,PR Headlands,PUP,29
1/21/1990,PR Headlands,IMM,6
1/21/1990,South Beach,IMM,1
1/24/1990,PR Headlands,BULL-SA4,3
1/24/1990,PR Headlands,SA1-3,4
1/24/1990,PR Headlands,COW,49
1/24/1990,PR Headlands,PUP,36
1/24/1990,PR Headlands,IMM,4
1/24/1990,South Beach,BULL-SA4,3
1/31/1990,PR Headlands,BULL-SA4,4
1/31/1990,PR Headlands,SA1-3,1
1/31/1990,PR Headlands,COW,52
1/31/1990,PR Headlands,PUP,44
1/31/1990,PR Headlands,WNR,2
1/31/1990,South Beach,BULL-SA4,2
1/31/1990,South Beach,SA1-3,1
2/4/1990,PR Headlands,BULL-SA4,6
2/4/1990,PR Headlands,SA1-3,1
2/4/1990,PR Headlands,COW,48
2/4/1990,PR Headlands,PUP,43
2/4/1990,PR Headlands,WNR,2
2/4/1990,PR Headlands,IMM,1
2/4/1990,South Beach,SA1-3,2
2/9/1990,PR Headlands,BULL-SA4,4
2/9/1990,PR Headlands,SA1-3,2
2/9/1990,PR Headlands,COW,39
2/9/1990,PR Headlands,PUP,39
2/9/1990,PR Headlands,WNR,10
3/5/1990,PR Headlands,BULL-SA4,5
3/5/1990,PR Headlands,SA1-3,2
3/5/1990,PR Headlands,COW,5
3/5/1990,PR Headlands,PUP,5
