YYYY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2009	1	1	0	50	338	6.2	7.5	1.41	12.9	5.67	287	1022.2	10.4	11	999	99	99
2009	1	1	1	50	341	5.9	7.2	1.39	12.9	5.62	282	1022.1	10.7	11	999	99	99
2009	1	1	2	50	330	4.2	5	1.44	12.9	6.19	289	1022.3	11	10.9	999	99	99
2009	1	1	3	50	329	4.4	5.4	1.34	12.9	6.13	289	1022.1	11	10.9	999	99	99
2009	1	1	4	50	335	7.4	9.2	1.46	12.12	5.71	288	1022.4	11	10.9	999	99	99
2009	1	1	5	50	354	7.3	9.1	1.5	12.9	5.75	273	1022.2	10.8	10.9	999	99	99
2009	1	1	6	50	352	6.2	7.8	1.61	12.12	5.66	285	1022.6	10.6	10.9	999	99	99
2009	1	1	7	50	359	2.6	3.6	1.64	12.9	5.98	275	1022.3	10.4	10.9	999	99	99
2009	1	1	8	50	57	0.9	2.8	1.68	12.12	6.08	287	1022.2	10.2	10.9	999	99	99
2009	1	1	9	50	102	1.7	2.5	1.73	11.43	6.46	296	1022.5	10	10.8	999	99	99
2009	1	1	10	50	45	0.7	1.6	1.71	12.12	6.82	289	1022.7	9.7	10.8	999	99	99
2009	1	1	11	50	336	5.6	6.9	1.65	12.9	6.89	288	1022.6	9.5	10.9	999	99	99
2009	1	1	12	50	22	4.6	5.4	1.68	12.9	6.66	281	1022.3	9.1	10.9	999	99	99
2009	1	1	13	50	25	3.8	5	1.65	10.81	6.86	289	1021.9	9.6	10.8	999	99	99
2009	1	1	14	50	343	5	6.6	1.67	11.43	6.97	280	1021.7	10	10.8	999	99	99
2009	1	1	15	50	80	2.8	3.8	1.87	11.43	6.63	290	1022.1	9.5	10.8	999	99	99
2009	1	1	16	50	107	2.5	4	1.88	11.43	6.41	285	1022.6	9	10.8	999	99	99
2009	1	1	17	50	83	2	3.2	1.65	10	5.98	289	1023.1	9.1	10.8	999	99	99
2009	1	1	18	50	17	3	3.9	1.8	11.43	6.34	291	1023.2	9.7	10.9	999	99	99
2009	1	1	19	50	96	2.9	3.8	1.77	10.81	6.6	281	1022.3	9.2	10.9	999	99	99
2009	1	1	20	50	101	4.4	5.5	1.74	10	6.78	293	1020.9	8.9	11.1	999	99	99
2009	1	1	21	50	107	2.6	3.7	1.86	11.43	7.01	292	1020.3	8.7	11.1	999	99	99
2009	1	1	22	50	162	0.4	1.4	1.7	10.81	6.49	297	1019.8	9.6	11.1	999	99	99
2009	1	1	23	50	324	1	1.6	1.66	11.43	6.43	300	1019.1	9.7	11.2	999	99	99
2009	1	2	0	50	311	1.9	2.8	1.68	11.43	6.72	294	1019.2	10.2	11.2	999	99	99
2009	1	2	1	50	327	2.1	4.1	1.57	11.43	7.04	303	1019.1	10.7	11.1	999	99	99
2009	1	2	2	50	323	2.7	3.5	1.52	11.43	7.05	303	1019.1	10.9	11.1	999	99	99
2009	1	2	3	50	329	2.6	3.5	1.53	10.81	6.93	300	1018.7	11.2	11	999	99	99
2009	1	2	4	50	341	4.4	5.2	1.59	10.81	7.56	294	1018.4	11.2	11.1	999	99	99
2009	1	2	5	50	329	3.4	4.8	1.48	10.81	6.84	306	1018.3	11.1	11.1	999	99	99
2009	1	2	6	50	113	2.7	3.6	1.5	10.81	6.62	289	1018.2	9.6	11	999	99	99
2009	1	2	7	50	141	3.4	4.2	1.51	10	7.04	290	1017.6	9.6	11	999	99	99
2009	1	2	8	50	136	1.2	1.7	1.41	17.39	6.92	273	1017.5	9.9	11	999	99	99
2009	1	2	9	50	314	3.1	4.2	1.39	16	6.75	289	1017.8	10.4	11	999	99	99
2009	1	2	10	50	196	0.5	1	1.58	16	7.63	281	1017.1	10.6	11	999	99	99
2009	1	2	11	50	192	2.4	2.9	1.46	16	7.39	287	1016.7	10.6	11	999	99	99
2009	1	2	12	50	196	4.7	5.4	1.4	16	7.52	281	1015.3	10.8	11.1	999	99	99
2009	1	2	13	50	200	6	7.1	1.4	16	7.51	273	1014.7	11	11.1	999	99	99
2009	1	2	14	50	199	6.9	8.2	1.31	16	6.24	277	1014	11.2	11.1	999	99	99
2009	1	2	15	50	206	7.6	8.7	1.39	16	5.73	280	1013.8	11.3	11	999	99	99
2009	1	2	16	50	211	7.5	9.7	1.49	16	5.8	285	1013.5	11.5	11	999	99	99
2009	1	2	17	50	251	6.8	8.3	1.54	16	5.52	294	1014.3	11.9	11	999	99	99
2009	1	2	18	50	281	4.1	5.1	1.55	16	5.35	281	1014.1	11.9	11	999	99	99
2009	1	2	19	50	317	8	10.9	1.61	10	5.5	308	1014	11.5	11.1	999	99	99
