YYYY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2012	12	31	23	50	242	0.6	1.3	1.85	19.05	8.97	299	1024.9	10.3	12	999	99	99
2013	1	1	0	50	252	1.4	2	2.07	17.39	10.06	290	1024.9	10.1	11.8	999	99	99
2013	1	1	1	50	270	0.9	1.6	2.06	19.05	10.36	285	1025.2	10.3	11.7	999	99	99
2013	1	1	2	50	209	1.7	2.7	1.89	19.05	9.91	297	1024.8	10.4	11.7	999	99	99
2013	1	1	3	50	285	1.4	2.5	2.09	19.05	10.83	290	1024.9	10.5	11.7	999	99	99
2013	1	1	4	50	325	1.5	2.4	1.6	17.39	9.61	276	1025.1	10.6	11.6	999	99	99
2013	1	1	5	50	315	2.1	3.2	1.9	17.39	11.18	266	1025.1	10.7	11.6	999	99	99
2013	1	1	6	50	291	1.6	2.9	2.39	17.39	12.85	288	1024.8	10.6	11.6	999	99	99
2013	1	1	7	50	323	1.3	2	1.94	17.39	11.35	290	1024.6	10.6	11.6	999	99	99
2013	1	1	8	50	295	1.8	3	2.6	17.39	13.32	295	1024.3	10.7	11.6	999	99	99
2013	1	1	9	50	257	3.7	5.1	2.38	16	12.65	292	1023.8	10.9	11.7	999	99	99
2013	1	1	10	50	307	3.7	5	2.09	16	12.41	294	1023.9	11	11.5	999	99	99
2013	1	1	11	50	348	5.4	6.8	2.35	17.39	12.58	273	1024.1	11	11.5	999	99	99
2013	1	1	12	50	60	3.7	5.3	2.64	16	12.68	285	1023.8	10.1	11.5	999	99	99
2013	1	1	13	50	72	7.1	9.6	2.27	16	10.83	290	1023.7	8.9	11.5	999	99	99
2013	1	1	14	50	69	10.2	12.2	2.21	14.81	8.29	290	1024	8	11.5	999	99	99
2013	1	1	15	50	68	9.4	12	2.44	16	8.79	284	1024.2	7.8	11.5	999	99	99
2013	1	1	16	50	64	8.6	10.6	2.35	14.81	8.55	281	1024.7	8	11.5	999	99	99
2013	1	1	17	50	62	9.8	12.1	2.46	16	8.74	283	1024.7	8.3	11.5	999	99	99
2013	1	1	18	50	62	7.9	9.8	2.42	13.79	8.72	275	1025.2	8.5	11.6	999	99	99
2013	1	1	19	50	57	8.3	9.9	2.4	17.39	9.15	278	1024.6	8.9	11.6	999	99	99
2013	1	1	20	50	60	9.8	12	2.22	14.81	8.18	285	1024	9.2	11.7	999	99	99
2013	1	1	21	50	56	8.4	10.6	2.04	16	8.01	260	1023.8	9.8	11.7	999	99	99
2013	1	1	22	50	56	8.6	10.8	2.05	16	8.34	278	1023.7	10.6	11.7	999	99	99
2013	1	1	23	50	59	7.8	9.4	1.88	16	8.03	286	1023.6	11.3	11.7	999	99	99
2013	1	2	0	50	71	9.3	11.4	2.09	16	8.81	288	1023.2	11.5	11.7	999	99	99
2013	1	2	1	50	84	7.5	9.2	1.99	16	8.9	288	1023.2	11.3	11.7	999	99	99
2013	1	2	2	50	64	6.3	8	1.82	14.81	9.05	294	1023.7	11.1	11.7	999	99	99
2013	1	2	3	50	73	6.8	8.3	2.14	14.81	9.19	271	1024.2	11	11.6	999	99	99
2013	1	2	4	50	96	6.4	8.1	1.94	14.81	10.4	291	1023.9	10.5	11.6	999	99	99
2013	1	2	5	50	67	4.7	5.8	1.93	13.79	10.32	284	1024.4	10.3	11.6	999	99	99
2013	1	2	6	50	48	4.6	5.9	1.9	13.79	9.62	270	1024.5	10.1	11.6	999	99	99
2013	1	2	7	50	61	3.2	4.4	2.08	14.81	10.03	270	1024.3	10.1	11.6	999	99	99
2013	1	2	8	50	67	5.3	6.5	1.84	13.79	10.2	275	1024	9.7	11.6	999	99	99
2013	1	2	9	50	79	7.7	10.1	1.83	14.81	9.39	281	1023.1	9.5	11.5	999	99	99
2013	1	2	10	50	79	9.7	11.4	1.81	13.79	8.34	281	1022.9	9.5	11.5	999	99	99
2013	1	2	11	50	81	10.1	12.1	1.58	14.81	6.16	260	1022.5	9.5	11.5	999	99	99
2013	1	2	12	50	78	10.6	13.4	1.98	12.9	7.12	286	1022	9.7	11.5	999	99	99
2013	1	2	13	50	77	9.9	12	1.83	12.9	6.32	271	1022	9.6	11.6	999	99	99
2013	1	2	14	50	79	9.8	11.4	1.67	14.81	6.29	256	1022.1	9.4	11.5	999	99	99
2013	1	2	15	50	80	9.5	11.6	1.71	14.81	6.93	258	1022.3	9.2	11.5	999	99	99
2013	1	2	16	50	84	9.7	11.5	1.74	14.81	7.05	262	1022.8	8.8	11.5	999	99	99
2013	1	2	17	50	86	9.2	10.8	1.57	13.79	6.14	273	1023.4	9.3	11.6	999	99	99
2013	1	2	18	50	86	8.1	10.1	1.56	16	6.34	300	1023.8	9.6	11.6	999	99	99
2013	1	2	19	50	86	7.6	9.3	1.62	16	7	278	1022.9	10.3	11.7	999	99	99
2013	1	2	20	50	84	7	9	1.72	14.81	8.13	258	1022.1	10.9	11.7	999	99	99
2013	1	2	21	50	82	7.6	9.2	1.62	16	7.83	275	1021.2	11.4	11.8	999	99	99
2013	1	2	22	50	78	7.2	9	1.89	13.79	8.65	275	1020.9	11.8	11.8	999	99	99
2013	1	2	23	50	74	7.4	9	1.77	16	8.59	275	1020.8	12.1	11.8	999	99	99
2013	1	3	0	50	77	6.6	8.4	1.68	16	8.55	258	1020.5	12.1	11.8	999	99	99
2013	1	3	1	50	75	6.1	7.8	1.68	16	8.88	265	1020.9	11.7	11.7	999	99	99
2013	1	3	2	50	78	6.4	8.4	1.53	14.81	8.78	270	1021	11.7	11.7	999	99	99
2013	1	3	3	50	82	5.2	6.3	1.48	14.81	9.51	292	1021.1	11.4	11.7	999	99	99
2013	1	3	4	50	77	5.8	6.9	1.43	16	8.92	262	1021.3	11.4	11.6	999	99	99
2013	1	3	5	50	80	5.5	7	1.37	14.81	8.86	287	1021.5	11.2	11.6	999	99	99
2013	1	3	6	50	75	6.5	7.9	1.49	13.79	8.82	274	1021.5	11	11.6	999	99	99
2013	1	3	7	50	82	6.3	7.5	1.51	14.81	8.2	278	1021.6	10.8	11.6	999	99	99
2013	1	3	8	50	93	5.4	6.7	1.35	16	8.57	273	1021.6	10.7	11.5	999	99	99
2013	1	3	9	50	87	7.3	8.8	1.34	14.81	9.14	262	1021.2	10.6	11.4	999	99	99
2013	1	3	10	50	85	8.8	10.3	1.28	14.81	7.51	272	1021.2	10.2	11.4	999	99	99
2013	1	3	11	50	83	7.5	9.4	1.58	14.81	7.99	272	1021.1	10.1	11.3	999	99	99
2013	1	3	12	50	84	7.7	9	1.52	13.79	8.01	278	1021	10.1	11.3	999	99	99
2013	1	3	13	50	85	7.7	10.3	1.7	14.81	8.3	274	1021.4	10.1	11.3	999	99	99
2013	1	3	14	50	89	7.7	9.7	1.62	14.81	7.53	269	1021.6	10.1	11.3	999	99	99
2013	1	3	15	50	87	8.1	9.6	1.51	14.81	7.21	279	1022.1	9.9	11.3	999	99	99
2013	1	3	16	50	87	8	9.6	1.67	13.79	7.27	280	1023	9.5	11.3	999	99	99
2013	1	3	17	50	90	7.9	9.4	2.07	13.79	8.99	281	1023.7	9.3	11.4	999	99	99
2013	1	3	18	50	93	6.6	8	2	13.79	8.82	281	1024	9.2	11.4	999	99	99
2013	1	3	19	50	89	6.4	8.1	2.27	13.79	9.91	280	1023.7	9.7	11.5	999	99	99
2013	1	3	20	50	96	5.6	7.2	2.56	13.79	10.6	289	1023.2	10.2	11.5	999	99	99
2013	1	3	21	50	89	5	6.9	2.37	14.81	10.3	292	1023	11.1	11.6	999	99	99
2013	1	3	22	50	93	5.3	7.8	2.48	12.9	10.18	291	1022.9	11.6	11.7	999	99	99
2013	1	3	23	50	74	3.6	5.1	2.36	12.12	9.38	264	1023.6	11.9	11.7	999	99	99
2013	1	4	0	50	21	1.6	2.5	2.77	13.79	10.03	262	1024.1	11.8	11.7	999	99	99
2013	1	4	1	50	317	4.7	5.6	2.56	14.81	10.11	277	1024.2	11.4	11.6	999	99	99
2013	1	4	2	50	320	3.6	4.7	2.45	14.81	9.72	270	1024.4	11.4	11.5	999	99	99
2013	1	4	3	50	334	4.5	5.5	2.49	13.79	9.67	270	1024.6	11.5	11.5	999	99	99
2013	1	4	4	50	24	3.1	3.9	2.69	13.79	10.16	270	1024.9	11.1	11.4	999	99	99
2013	1	4	5	50	23	2.8	3.6	2.58	13.79	10.25	262	1025.2	10.8	11.4	999	99	99
2013	1	4	6	50	87	1.8	3.2	2.87	13.79	10.56	288	1025.3	10.5	11.3	999	99	99
2013	1	4	7	50	75	4.2	6.4	2.61	13.79	10.2	277	1025.1	10.7	11.1	999	99	99
2013	1	4	8	50	82	5.9	7.9	2.91	13.79	10.55	277	1024.7	10.5	11.1	999	99	99
2013	1	4	9	50	76	5.5	8.1	2.67	12.9	9.97	287	1024.5	10.7	11.1	999	99	99
