YYYY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2008	1	1	0	0	14	3.1	4.4	2.72	14.81	8.78	289	1023.2	10.7	10.5	999	99	99
2008	1	1	1	0	79	4.2	5.4	2.9	13.79	9.11	284	1022.8	11.4	10.5	999	99	99
2008	1	1	2	0	83	6.5	8.5	2.69	14.81	8.88	285	1022.8	11.3	10.5	999	99	99
2008	1	1	3	0	82	5.3	7.2	2.48	14.81	8.4	289	1023.1	10.9	10.5	999	99	99
2008	1	1	4	0	84	7.3	8.8	2.23	13.79	7.83	288	1023	11.1	10.4	999	99	99
2008	1	1	5	0	91	7.2	8.8	2.3	14.81	8.08	290	1023.2	11.3	10.4	999	99	99
2008	1	1	6	0	104	9	10.5	2.24	12.9	7.35	290	1022.8	11.1	10.4	999	99	99
2008	1	1	7	0	90	9.9	12.3	2.07	14.81	7.09	288	1022.7	11.6	10.4	999	99	99
2008	1	1	8	0	90	12.7	15.1	2.22	13.79	6.4	287	1022.3	11.7	10.4	999	99	99
2008	1	1	9	0	80	12.3	14.9	2.24	12.9	6.39	284	1021.7	11.4	10.4	999	99	99
2008	1	1	10	0	94	11.6	14.3	2.11	13.79	6.01	297	1022.3	10.6	10.3	999	99	99
2008	1	1	11	0	84	13.5	15.9	2.2	13.79	5.7	287	1022.1	10.4	10.3	999	99	99
2008	1	1	12	0	85	12.9	16.1	2.07	12.12	5.64	300	1021.9	10	10.3	999	99	99
2008	1	1	13	0	86	12.1	14.2	2.05	11.43	5.7	289	1022.1	9.5	10.3	999	99	99
2008	1	1	14	0	88	12	15	1.87	12.9	5.19	270	1022.3	9.4	10.3	999	99	99
2008	1	1	15	0	90	12.6	15.5	1.8	12.12	5.32	289	1022.4	9.1	10.3	999	99	99
2008	1	1	16	0	91	12.2	14.6	1.77	10.81	5.22	286	1022.5	8.8	10.3	999	99	99
2008	1	1	17	0	93	12.7	14.9	1.71	12.12	4.76	292	1022.8	9	10.3	999	99	99
2008	1	1	18	0	95	12.1	16.2	1.64	12.9	4.66	282	1023.2	9.4	10.3	999	99	99
2008	1	1	19	0	96	11.8	13.7	1.51	4.17	4.48	69	1023.2	10	10.3	999	99	99
2008	1	1	20	0	95	10.6	14	1.36	12.9	4.5	285	1022.7	10.5	10.4	999	99	99
2008	1	1	21	0	93	8.8	12.6	1.31	4.17	4.13	80	1022	10.9	10.4	999	99	99
2008	1	1	22	0	93	9.3	11.1	1.19	12.9	4.22	272	1021.1	11.2	10.4	999	99	99
2008	1	1	23	0	93	8.9	11	1.07	12.12	4.06	284	1020.9	11.4	10.4	999	99	99
2008	1	2	0	0	94	8.1	9.6	0.94	12.12	4.04	273	1020.7	11.6	10.4	999	99	99
2008	1	2	1	0	98	8.7	10.2	0.86	12.9	3.93	281	1020.1	11.5	10.4	999	99	99
2008	1	2	2	0	97	8.1	9.5	0.84	12.9	3.99	267	1020.2	11.5	10.4	999	99	99
2008	1	2	3	0	98	9.1	10.6	0.8	13.79	3.95	233	1019.7	11.5	10.4	999	99	99
2008	1	2	4	0	100	8.7	10.8	0.79	12.12	3.77	285	1019.8	11.5	10.4	999	99	99
2008	1	2	5	0	106	8.3	9.7	0.78	19.05	3.85	280	1019.6	11.5	10.4	999	99	99
2008	1	2	6	0	96	8.5	10.3	0.78	19.05	3.8	270	1019.9	11.8	10.4	999	99	99
