YYYY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2015	12	31	23	50	28	1.1	1.8	1.15	11.43	7.93	287	1021.7	10.7	12.9	999	99	99
2016	1	1	0	50	100	1.3	2	1.21	13.79	8.4	276	1021.7	10.3	12.9	999	99	99
2016	1	1	1	50	43	1.8	2.5	1.18	10.81	8.49	274	1021.8	10.5	12.8	999	99	99
2016	1	1	2	50	60	2.8	4.4	1.24	14.81	8.77	271	1021.9	10.7	12.8	999	99	99
2016	1	1	3	50	21	2.6	3.2	1.2	14.81	7.88	285	1022	10.5	12.7	999	99	99
2016	1	1	4	50	36	2.5	3.5	1.19	13.79	8.54	270	1021.7	10.3	12.7	999	99	99
2016	1	1	5	50	60	3.2	4	1.17	13.79	8.27	265	1021.6	10	12.7	999	99	99
2016	1	1	6	50	48	2.3	3	1.23	13.79	9.27	295	1021.2	10	12.7	999	99	99
2016	1	1	7	50	41	2.9	3.7	1.14	14.81	9.76	272	1020.8	9.9	12.7	999	99	99
2016	1	1	8	50	78	4.6	6.1	1.16	14.81	9.6	268	1020.5	9.7	12.7	999	99	99
2016	1	1	9	50	79	6.5	8	1.17	14.81	7.73	269	1020.3	9.2	12.7	999	99	99
2016	1	1	10	50	77	7.2	8.6	1.23	13.79	7.2	285	1020.4	8.9	12.6	999	99	99
2016	1	1	11	50	78	8.4	10	1.22	13.79	6.89	275	1019.9	8.5	12.6	999	99	99
2016	1	1	12	50	72	8.3	9.9	1.24	13.79	6.32	265	1019.5	8.4	12.6	999	99	99
2016	1	1	13	50	75	8.9	10.6	1.36	13.79	6.52	247	1019.8	7.7	12.6	999	99	99
2016	1	1	14	50	74	8.5	10.1	1.37	17.39	6.22	265	1020.5	7.3	12.6	999	99	99
2016	1	1	15	50	75	8.8	10.4	1.28	17.39	5.98	296	1020.8	7.2	12.6	999	99	99
2016	1	1	16	50	76	9.5	11.5	1.52	17.39	6.58	294	1021.1	7.2	12.5	999	99	99
2016	1	1	17	50	72	8.7	10.2	1.66	17.39	6.7	281	1021.7	7.3	12.5	999	99	99
2016	1	1	18	50	76	8.3	10.2	1.63	17.39	6.89	279	1021.9	7.5	12.4	999	99	99
2016	1	1	19	50	78	8.4	10.7	1.59	17.39	7.24	254	1021.3	7.9	12.5	999	99	99
2016	1	1	20	50	82	8.7	10.7	1.64	17.39	7.35	283	1020.4	8.4	12.5	999	99	99
2016	1	1	21	50	74	8.5	11	1.68	16	6.72	276	1019.9	8.8	12.5	999	99	99
2016	1	1	22	50	71	8	9.7	1.73	16	7.37	267	1019.9	9.1	12.5	999	99	99
2016	1	1	23	50	72	8	9.4	1.65	16	7.38	270	1019.7	9.3	12.5	999	99	99
2016	1	2	0	50	76	8.2	9.6	1.64	14.81	7.13	268	1019.5	9.5	12.5	999	99	99
2016	1	2	1	50	69	8.4	10.6	1.54	16	6.7	281	1019.6	9.3	12.5	999	99	99
2016	1	2	2	50	71	10.3	12.6	1.94	16	7.61	268	1019.5	9.1	12.5	999	99	99
2016	1	2	3	50	76	9.7	11.4	1.68	14.81	7	285	1019.7	8.8	12.5	999	99	99
2016	1	2	4	50	76	9.1	10.8	1.5	16	6	280	1019.9	8.6	12.5	999	99	99
2016	1	2	5	50	80	9.6	11.2	1.72	16	7.14	266	1019.8	9	12.5	999	99	99
2016	1	2	6	50	84	9.6	11.5	1.49	14.81	6.11	292	1019.5	9	12.5	999	99	99
2016	1	2	7	50	84	10	11.9	1.52	14.81	6.53	279	1019.4	8.8	12.5	999	99	99
2016	1	2	8	50	80	9.7	11.2	1.62	14.81	6.75	276	1019.1	8.5	12.4	999	99	99
2016	1	2	9	50	78	9.5	11.3	1.59	14.81	6.68	275	1018.7	8.5	12.4	999	99	99
2016	1	2	10	50	80	10.5	12.2	1.49	14.81	6.25	269	1018.4	8.5	12.4	999	99	99
2016	1	2	11	50	84	9.6	11.4	1.59	14.81	6.52	274	1018.2	8.5	12.4	999	99	99
2016	1	2	12	50	77	9	10.4	1.61	14.81	6.42	258	1018.1	8.4	12.4	999	99	99
2016	1	2	13	50	83	9.1	11	1.32	12.9	5.7	276	1017.8	8.7	12.4	999	99	99
2016	1	2	14	50	80	9.7	11.7	1.48	13.79	6.06	271	1017.9	8.6	12.4	999	99	99
2016	1	2	15	50	83	9.1	10.8	1.48	12.9	5.5	264	1017.8	8.7	12.3	999	99	99
2016	1	2	16	50	89	9.3	10.9	1.5	12.9	5.98	267	1017.9	8.9	12.3	999	99	99
2016	1	2	17	50	86	9.8	11.9	1.64	14.81	5.82	271	1018	8.9	12.3	999	99	99
2016	1	2	18	50	84	9.5	11.9	1.52	12.9	6.03	267	1018.1	9.1	12.3	999	99	99
2016	1	2	19	50	82	9.6	11.3	1.35	14.81	5.33	294	1016.9	9.3	12.3	999	99	99
2016	1	2	20	50	78	9.9	12.2	1.33	13.79	5.16	266	1015.6	9.7	12.3	999	99	99
2016	1	2	21	50	84	9	10.5	1.42	14.81	5.67	257	1015.5	9.9	12.3	999	99	99
2016	1	2	22	50	86	9.5	11.5	1.35	16	5.85	255	1014.9	10.1	12.3	999	99	99
2016	1	2	23	50	88	9.1	11.1	1.4	14.81	5.55	272	1014.6	10.6	12.3	999	99	99
2016	1	3	0	50	83	8.5	10	1.3	14.81	5.38	258	1014.5	10.6	12.3	999	99	99
2016	1	3	1	50	78	9.1	10.7	1.31	13.79	5.94	246	1013.9	10.6	12.3	999	99	99
2016	1	3	2	50	91	9.8	11.6	1.42	14.81	5.67	270	1013.9	10.5	12.2	999	99	99
2016	1	3	3	50	92	9.9	11.9	1.42	14.81	5.13	286	1014.1	10.3	12.2	999	99	99
2016	1	3	4	50	89	10.2	12	1.5	14.81	5.43	210	1014	10.2	12.1	999	99	99
2016	1	3	5	50	95	10.2	12.6	1.58	19.05	5.29	266	1014	10.2	12.1	999	99	99
2016	1	3	6	50	95	10.8	12.6	1.94	17.39	5.83	233	1013.8	10.1	12	999	99	99
2016	1	3	7	50	92	10.4	12.2	1.92	17.39	5.78	264	1013.5	10.1	12	999	99	99
2016	1	3	8	50	87	10.1	12	2.05	17.39	5.89	263	1012.8	9.9	12	999	99	99
2016	1	3	9	50	93	11.7	13.7	2.2	17.39	5.8	268	1012.5	10	11.9	999	99	99
2016	1	3	10	50	93	10.6	12.7	2.23	16	5.86	278	1012.6	9.9	12	999	99	99
2016	1	3	11	50	91	10.5	12.6	2.39	16	6.05	261	1011.7	10.3	12	999	99	99
2016	1	3	12	50	93	10.6	12.4	2.31	16	5.88	272	1011.5	10.2	12	999	99	99
2016	1	3	13	50	88	10.5	12.6	2.34	14.81	5.81	261	1011	10.2	11.8	999	99	99
2016	1	3	14	50	93	10	12	2.43	14.81	6.34	278	1011.1	10	11.7	999	99	99
2016	1	3	15	50	89	9.2	11.1	2.37	7.14	6.36	181	1010.9	10.5	11.7	999	99	99
2016	1	3	16	50	95	9.8	11.4	2.41	16	6.54	288	1011.3	10.4	11.7	999	99	99
2016	1	3	17	50	97	7.9	10.4	2.35	14.81	6.5	278	1011.8	10.7	11.7	999	99	99
2016	1	3	18	50	96	8.5	10.5	2.5	14.81	6.67	280	1011.7	10.5	11.7	999	99	99
2016	1	3	19	50	101	7.3	9	2.74	16	7.18	266	1011	10.9	11.7	999	99	99
2016	1	3	20	50	93	7.3	9.4	2.96	9.09	7.2	220	1009.9	10.8	11.7	999	99	99
2016	1	3	21	50	88	7.9	9.8	3.14	13.79	7.55	274	1009	11.2	11.8	999	99	99
2016	1	3	22	50	84	7.4	9.2	2.92	14.81	7.36	283	1008.6	11.5	11.8	999	99	99
2016	1	3	23	50	86	7.2	8.6	2.87	9.09	7.57	218	1008.9	11.4	11.7	999	99	99
2016	1	4	0	50	79	7	8.2	2.83	14.81	7.56	284	1008.9	11.6	11.7	999	99	99
2016	1	4	1	50	74	8.3	10.2	2.87	14.81	7.78	266	1008.5	11.6	11.7	999	99	99
2016	1	4	2	50	76	8.3	10.1	2.92	16	7.38	272	1008.5	11.6	11.8	999	99	99
2016	1	4	3	50	85	7.6	9.3	2.97	13.79	7.45	274	1008.7	11.3	11.8	999	99	99
2016	1	4	4	50	88	7.8	9.7	2.81	14.81	7.4	252	1008.6	11	11.8	999	99	99
2016	1	4	5	50	90	8.2	9.7	2.77	14.81	7.47	277	1008.7	10.5	11.8	999	99	99
2016	1	4	6	50	79	7.6	9.2	2.93	14.81	8.04	270	1008.5	10.4	11.9	999	99	99
2016	1	4	7	50	83	9	10.6	2.31	14.81	7.11	255	1007.9	10.7	12	999	99	99
2016	1	4	8	50	93	9.8	11.7	2.68	13.79	7.54	270	1007.1	10.9	12	999	99	99
2016	1	4	9	50	92	9	11.2	2.56	12.9	7.25	268	1006.8	10.9	12.1	999	99	99
2016	1	4	10	50	102	8	10.2	2.64	12.12	7.21	267	1007	9.8	12.1	999	99	99
2016	1	4	11	50	95	9.3	11.2	2.83	14.81	6.94	266	1006.3	10.6	12.1	999	99	99
2016	1	4	12	50	98	9	11.1	3.04	14.81	7.06	281	1005.7	10.3	12	999	99	99
2016	1	4	13	50	102	5.7	7.9	3.03	13.79	7.23	285	1006.6	9.6	12	999	99	99
2016	1	4	14	50	90	7.2	9.4	3.19	9.09	7.35	210	1006.4	9.2	12	999	99	99
2016	1	4	15	50	84	7.9	9.9	3.38	13.79	7.94	284	1006.1	10	12	999	99	99
2016	1	4	16	50	140	7.7	9.7	2.97	14.81	7.54	287	1006.8	12.2	12	999	99	99
2016	1	4	17	50	95	7.3	9.1	2.98	13.79	7.5	272	1007.3	10.7	12	999	99	99
2016	1	4	18	50	147	8.3	10.2	3.1	13.79	7.83	285	1007.2	12.8	12	999	99	99
2016	1	4	19	50	153	9.2	11.3	2.75	13.79	7.25	294	1006.6	12.9	12	999	99	99
2016	1	4	20	50	154	10.2	12.8	2.85	13.79	7.08	281	1005.8	12.9	12	999	99	99
2016	1	4	21	50	154	9.3	11.3	2.88	13.79	6.96	290	1005.2	12.8	12.1	999	99	99
2016	1	4	22	50	156	9.6	11.5	2.96	12.9	6.88	271	1005	12.8	12.2	999	99	99
2016	1	4	23	50	155	9.8	11.9	2.79	14.81	6.81	294	1005.1	12.9	12.2	999	99	99
2016	1	5	0	50	158	10.4	12.9	2.94	12.9	7.09	272	1004.9	12.9	12.2	999	99	99
2016	1	5	1	50	156	11.2	14.3	3.11	13.79	6.87	277	1004.5	12.9	12.2	999	99	99
2016	1	5	2	50	154	10.3	12.4	2.87	9.09	6.73	215	1004.2	13.1	12.2	999	99	99
2016	1	5	3	50	158	11.1	13.4	2.88	13.79	6.63	279	1004.2	13.1	12.2	999	99	99
2016	1	5	4	50	152	11.5	13.7	3.18	13.79	6.94	278	1003.9	13.1	12.2	999	99	99
2016	1	5	5	50	154	11.7	14.8	3.14	13.79	6.77	267	1003.3	13.1	12.2	999	99	99
2016	1	5	6	50	154	12.5	14.9	3.46	14.81	7.1	264	1002.7	13	12.3	999	99	99
2016	1	5	7	50	162	12.2	14.6	3.37	13.79	6.87	262	1002.4	12.9	12.3	999	99	99
2016	1	5	8	50	179	11	14.3	3.4	14.81	6.97	278	1002.4	13.5	12.4	999	99	99
2016	1	5	9	50	184	10.6	14.2	3.38	13.79	7.03	283	1002	12.5	12.5	999	99	99
2016	1	5	10	50	187	9.3	11.5	3.42	12.9	6.92	289	1002.3	13.1	12.5	999	99	99
2016	1	5	11	50	189	10.1	12	3.31	13.79	6.95	279	1001.6	13.1	12.8	999	99	99
2016	1	5	12	50	174	5.9	8.6	3.41	13.79	7.33	291	1001.9	12.5	12.9	999	99	99
2016	1	5	13	50	153	3.5	4.7	3.33	13.79	7.28	284	1002.3	12.2	12.9	999	99	99
2016	1	5	14	50	243	4.4	5.5	3.06	13.79	7.62	272	1002.6	13.1	13.1	999	99	99
2016	1	5	15	50	231	3.7	4.8	3.09	12.9	8.1	282	1003	12.7	13.1	999	99	99
2016	1	5	16	50	218	4.5	6.3	3.42	13.79	8.96	278	1003.6	12.8	13.1	999	99	99
2016	1	5	17	50	281	10.2	12.2	2.95	13.79	8.05	274	1004.4	11.7	13.1	999	99	99
2016	1	5	18	50	290	9.9	11.9	3.22	21.05	8.73	253	1005.3	11.6	13.1	999	99	99
2016	1	5	19	50	294	7.4	9.1	3.48	19.05	8.84	243	1005.8	11.7	13.1	999	99	99
2016	1	5	20	50	255	5	7	2.92	19.05	8.47	274	1005.9	12.5	13	999	99	99
2016	1	5	21	50	262	7.4	9.3	3.25	19.05	9.75	287	1005.7	13.1	13	999	99	99
