YYYY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2010	12	31	23	50	77	6.2	8.5	1.5	10.81	6.83	283	1018	9	11.2	999	99	99
2011	1	1	0	50	102	6.3	7.7	1.42	10.81	6.82	309	1017.3	9.5	11.2	999	99	99
2011	1	1	1	50	132	4.8	6.2	1.39	11.43	7.23	286	1017.2	9.8	11.2	999	99	99
2011	1	1	2	50	153	4.9	5.8	1.4	12.12	7.58	289	1017.5	10.2	11.3	999	99	99
2011	1	1	3	50	149	5.8	7.4	1.44	11.43	7.31	285	1017.4	10.4	11.3	999	99	99
2011	1	1	4	50	150	7.8	9.3	1.31	11.43	6.32	297	1016.7	10.5	11.3	999	99	99
2011	1	1	5	50	134	8.5	10.1	1.35	11.43	5.56	296	1016.4	10.4	11.3	999	99	99
2011	1	1	6	50	134	9.7	11.5	1.34	12.12	4.73	297	1016.1	10.4	11.3	999	99	99
2011	1	1	7	50	139	10.5	12.9	99	99	99	999	1015.9	10.4	11.3	999	99	99
2011	1	1	8	50	139	10.7	13.3	1.58	11.43	4.67	296	1015.2	10.2	11.3	999	99	99
2011	1	1	9	50	148	11.7	14.8	1.68	5	4.72	167	1014.6	10.5	11.3	999	99	99
2011	1	1	10	50	148	13	15.5	2.19	5.56	5.11	167	1014.1	9.6	11.3	999	99	99
2011	1	1	11	50	164	10.4	12.5	2.39	6.25	5.42	174	1015	9.7	11.3	999	99	99
2011	1	1	12	50	153	11.4	14.2	2.67	6.67	5.74	169	1014.6	9.6	11.3	999	99	99
2011	1	1	13	50	167	10	13	2.66	6.67	5.75	175	1015	10.3	11.2	999	99	99
2011	1	1	14	50	200	5.3	6.5	2.54	7.14	5.89	173	1016	11.1	11.2	999	99	99
2011	1	1	15	50	47	8.5	10.8	2.58	7.14	5.92	179	1017	8.8	11.2	999	99	99
2011	1	1	16	50	76	5.5	8.6	2.3	7.14	5.67	177	1017.9	9.6	11.2	999	99	99
2011	1	1	17	50	64	8.8	10.6	2.04	6.25	5.47	191	1018.4	8.8	11.2	999	99	99
2011	1	1	18	50	58	9.1	10.6	1.86	6.67	5.41	193	1018.5	8.5	11.2	999	99	99
2011	1	1	19	50	69	8.5	11.3	99	99	99	999	1018.1	8.8	11.2	999	99	99
2011	1	1	20	50	86	6.6	9	1.96	7.14	5.42	170	1017.6	9	11.1	999	99	99
2011	1	1	21	50	85	6.4	8.5	1.96	7.14	5.3	172	1017.3	9.5	11.2	999	99	99
2011	1	1	22	50	53	6.7	8.5	1.89	7.69	5.22	202	1017.3	9.1	11.1	999	99	99
2011	1	1	23	50	55	8.2	10	2.03	7.14	5.42	165	1017.2	8.6	11.1	999	99	99
2011	1	2	0	50	56	9.1	11.4	2.24	7.69	5.5	203	1016.7	8.5	11	999	99	99
2011	1	2	1	50	66	8.8	11.6	2.37	17.39	5.64	106	1016.3	8.9	11	999	99	99
2011	1	2	2	50	67	8.3	10.7	2.91	17.39	6.42	286	1016	9.5	11	999	99	99
2011	1	2	3	50	70	8.9	11.5	2.93	16	6.74	289	1015.4	9.3	11	999	99	99
2011	1	2	4	50	73	8.8	11.2	99	99	99	999	1014.9	10	11	999	99	99
2011	1	2	5	50	72	8.8	11.9	4.18	16	8.49	304	1014.7	10.2	11.1	999	99	99
2011	1	2	6	50	68	10.3	13	4.02	16	8.24	289	1014	9.8	11.1	999	99	99
2011	1	2	7	50	62	10.9	13.6	4.32	16	8.71	285	1013	9.8	11.2	999	99	99
2011	1	2	8	50	64	10	14	3.76	16	7.85	290	1012.5	9.6	11.2	999	99	99
2011	1	2	9	50	60	10.5	13.9	4.46	16	8.33	288	1012.4	10.2	11.2	999	99	99
2011	1	2	10	50	69	8.5	12.1	3.83	13.79	7.81	288	1012.6	10	11.2	999	99	99
2011	1	2	11	50	59	10.6	13.2	3.92	14.81	7.56	286	1011.8	9.4	11.2	999	99	99
2011	1	2	12	50	66	10.9	14.4	99	99	99	999	1011.5	9.9	11.2	999	99	99
2011	1	2	13	50	62	11.1	13.2	3.49	16	8.03	273	1011.7	10	11.2	999	99	99
2011	1	2	14	50	54	9.6	11.7	3.25	16	7.37	288	1012.2	9.1	11.2	999	99	99
2011	1	2	15	50	68	10.5	12.5	2.95	16	7.26	290	1012.3	9.8	11.2	999	99	99
2011	1	2	16	50	67	8.5	11.9	99	99	99	999	1013.3	9.9	11.2	999	99	99
2011	1	2	17	50	62	7.5	9.7	2.92	14.81	7.68	288	1014	9.9	11.2	999	99	99
2011	1	2	18	50	52	8	10.3	2.86	13.79	7.99	291	1014.4	9.8	11.2	999	99	99
2011	1	2	19	50	47	7.6	9.7	2.73	14.81	8.1	279	1014	9.9	11.2	999	99	99
2011	1	2	20	50	37	8.7	10.6	2.97	13.79	8.37	287	1013.3	9.6	11.3	999	99	99
2011	1	2	21	50	29	7.1	8.3	2.85	13.79	8.28	284	1013.6	9.7	11.3	999	99	99
2011	1	2	22	50	18	7.2	8.5	2.92	13.79	8.51	287	1013.9	9.5	11.3	999	99	99
2011	1	2	23	50	17	7.7	9	2.71	12.12	7.77	277	1014.2	9.6	11.3	999	99	99
2011	1	3	0	50	39	5.9	7.4	2.74	12.9	8.24	280	1014.3	9.6	11.3	999	99	99
2011	1	3	1	50	44	9.4	11.9	2.45	10.81	7.56	288	1014.3	9.7	11.3	999	99	99
2011	1	3	2	50	44	7.8	9.2	3.08	12.9	8.75	291	1014.7	9.7	11.3	999	99	99
2011	1	3	3	50	42	7.3	9.7	2.95	13.79	8.71	290	1015.1	9.8	11.2	999	99	99
2011	1	3	4	50	20	5.7	8.6	2.83	10.81	8.89	300	1015.7	10	11.2	999	99	99
2011	1	3	5	50	42	5.5	7.2	2.62	13.79	8.68	297	1015.7	10.3	11.2	999	99	99
