YYYY	MM	DD	hh	mm	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2014	12	31	23	50	322	5.5	6.7	0.84	12.9	5.4	262	1020.1	12.6	13.6	999	99	99
2015	1	1	0	50	319	3.1	3.8	0.73	11.43	4.79	247	1019.4	13	13.5	999	99	99
2015	1	1	1	50	325	2.8	3.6	0.75	12.9	5.37	271	1019.2	13	13.4	999	99	99
2015	1	1	2	50	308	3.2	4.1	0.8	12.9	5.89	276	1019.3	12.9	13.3	999	99	99
2015	1	1	3	50	310	2.3	2.9	0.79	12.9	5.49	272	1019.1	12.7	13.3	999	99	99
2015	1	1	4	50	274	1.6	2.4	0.82	12.12	5.53	276	1018.7	12.7	13.3	999	99	99
2015	1	1	5	50	45	0.6	1	0.84	12.9	5.63	275	1018.7	12.7	13.3	999	99	99
2015	1	1	6	50	104	1.2	1.7	0.99	12.9	5.71	277	1018.6	12.5	13.3	999	99	99
2015	1	1	7	50	193	1.5	2.1	1.07	12.9	5.99	293	1018.5	12.5	13.3	999	99	99
2015	1	1	8	50	142	0.7	1.4	1.03	12.9	5.91	308	1018.5	12.7	13.3	999	99	99
2015	1	1	9	50	97	4	5.2	1.04	12.9	5.92	294	1018.7	12.6	13.3	999	99	99
2015	1	1	10	50	101	4.9	5.8	1.12	12.9	6.04	298	1018.7	11.5	13.3	999	99	99
2015	1	1	11	50	92	5.8	6.7	1.18	8.33	5.94	311	1018.5	10.8	13.3	999	99	99
2015	1	1	12	50	109	6	7	1.18	9.09	5.56	315	1018.2	10.9	13.3	999	99	99
2015	1	1	13	50	92	7.3	8.6	1.16	9.09	5.4	291	1018.4	10	13.3	999	99	99
2015	1	1	14	50	98	7.9	9.2	1.17	9.09	5.23	299	1018.8	9.8	13.2	999	99	99
2015	1	1	15	50	89	8.2	9.4	1.24	12.12	5.14	288	1019.5	9.3	13.2	999	99	99
2015	1	1	16	50	85	7.8	9.1	1.17	11.43	5.02	296	1020.2	9.4	13.2	999	99	99
2015	1	1	17	50	92	8	9.2	1.34	11.43	5.24	290	1021	9.6	13.1	999	99	99
2015	1	1	18	50	92	7.5	8.7	1.19	11.43	5.31	304	1021.3	9.9	13.1	999	99	99
2015	1	1	19	50	92	6.8	7.9	1.15	10.81	5.35	308	1020.5	10.2	13.1	999	99	99
2015	1	1	20	50	88	6.6	7.7	1.02	7.69	5.41	306	1019.9	10.5	13	999	99	99
2015	1	1	21	50	90	6.7	7.8	1.05	11.43	5.31	285	1019.4	11	13	999	99	99
2015	1	1	22	50	78	6.1	7.1	0.98	10.81	5.38	293	1019.8	11.5	13.1	999	99	99
2015	1	1	23	50	86	4.9	5.7	1.02	9.09	5.89	300	1020.6	11.7	13.1	999	99	99
2015	1	2	0	50	93	3.9	4.9	0.96	10.81	5.97	282	1020.7	11.8	13.1	999	99	99
2015	1	2	1	50	84	3.4	4.3	1.01	11.43	6.67	282	1020.9	11.8	13	999	99	99
2015	1	2	2	50	88	2.8	3.7	0.96	9.09	6.97	319	1020.9	11.6	13	999	99	99
2015	1	2	3	50	85	3.5	4.4	0.96	13.79	6.87	291	1021	11.4	13	999	99	99
2015	1	2	4	50	100	3.8	4.6	0.93	13.79	6.77	294	1020.8	11.1	13	999	99	99
2015	1	2	5	50	96	3.6	4.2	0.98	13.79	6.94	304	1021.2	11.1	13	999	99	99
2015	1	2	6	50	95	4	4.7	0.91	13.79	6.83	291	1021.5	10.9	13	999	99	99
2015	1	2	7	50	97	3.6	4.5	1.04	13.79	6.95	289	1021.7	11	13	999	99	99
2015	1	2	8	50	99	4.7	5.5	1.03	13.79	6.86	284	1021.5	10.6	13	999	99	99
2015	1	2	9	50	91	5.7	6.8	1.02	13.79	6.22	279	1021.6	10.1	12.9	999	99	99
2015	1	2	10	50	97	6	7.2	1.05	13.79	5.96	291	1021.6	9.9	12.9	999	99	99
2015	1	2	12	50	92	6.2	7.3	1.12	12.9	6.17	297	1021.2	9.5	12.9	999	99	99
2015	1	2	13	50	90	6.7	7.9	1.07	12.9	5.94	288	1021.2	9.3	12.9	999	99	99
2015	1	2	14	50	83	7.2	8.4	1.05	12.12	5.57	297	1021.7	9.1	12.9	999	99	99
2015	1	2	15	50	88	7.4	8.6	1.19	12.12	5.98	299	1022.4	9	12.9	999	99	99
2015	1	2	16	50	86	7.9	9.2	1.12	12.12	5.56	285	1022.7	8.9	12.9	999	99	99
2015	1	2	17	50	84	8	9.4	1.05	12.12	5.1	287	1022.9	8.9	13	999	99	99
2015	1	2	18	50	84	8.2	9.7	1.14	12.9	5.33	282	1022.8	9.1	13.1	999	99	99
2015	1	2	19	50	85	7.3	8.4	1.15	12.12	5.36	299	1021.8	9.3	13.2	999	99	99
2015	1	2	20	50	91	6.3	7.4	0.99	12.9	5.12	282	1021	9.5	13.2	999	99	99
2015	1	2	21	50	93	4.4	5.4	0.96	12.12	6	277	1020.3	10	13.3	999	99	99
2015	1	2	22	50	93	3	4.1	1.03	12.12	6.68	283	1020.7	10.8	13.3	999	99	99
2015	1	2	23	50	83	1.5	2.5	0.84	12.12	7.01	277	1020.8	11.2	13.3	999	99	99
2015	1	3	0	50	54	0.9	1.4	0.83	12.12	7.3	264	1020.5	11.1	13.3	999	99	99
2015	1	3	1	50	293	1.1	1.9	0.9	12.12	8.27	290	1020.7	11.1	13.3	999	99	99
2015	1	3	2	50	278	2.1	2.7	0.8	12.12	8.1	272	1021	11.5	13.3	999	99	99
2015	1	3	3	50	330	3.4	4.5	0.76	12.12	7.65	273	1021.6	11.8	13.2	999	99	99
2015	1	3	4	50	336	4.4	5.2	0.82	12.12	7.4	279	1022	11.8	13.2	999	99	99
2015	1	3	5	50	3	3.4	4.4	0.88	11.43	7.38	264	1022.3	11.6	13.3	999	99	99
2015	1	3	6	50	22	1.8	2.4	0.87	12.12	7.46	284	1022.1	11.4	13.2	999	99	99
2015	1	3	7	50	24	2.7	3.8	0.82	12.12	7.19	271	1022.4	11.4	13.1	999	99	99
2015	1	3	8	50	50	2.6	3.6	0.83	11.43	7.58	276	1022.5	11.1	13.1	999	99	99
2015	1	3	9	50	62	1.7	2.4	0.88	12.12	8.27	284	1022.9	11.1	13.1	999	99	99
2015	1	3	10	50	101	2.5	3.6	0.88	12.12	7.91	289	1023	10.8	13	999	99	99
2015	1	3	11	50	96	3.4	4.1	0.78	12.12	7.17	282	1023	10.3	13	999	99	99
2015	1	3	12	50	89	3.9	4.9	0.83	11.43	6.93	293	1023.1	10.1	13.1	999	99	99
2015	1	3	13	50	91	4.3	5.4	0.72	11.43	5.65	288	1023.1	10	13.2	999	99	99
2015	1	3	14	50	92	6.4	7.3	0.8	12.9	5.5	291	1023.1	9.8	13.2	999	99	99
2015	1	3	15	50	92	6.4	7.4	0.81	10.81	5.2	297	1023.5	9.5	13.2	999	99	99
2015	1	3	16	50	94	6.9	8.1	0.78	12.9	4.65	292	1024.1	9.3	13.3	999	99	99
2015	1	3	17	50	93	6	6.8	0.82	11.43	4.95	288	1025.1	9.3	13.3	999	99	99
2015	1	3	18	50	86	5.4	6.3	0.78	10.81	5.13	280	1025.2	9.8	13.3	999	99	99
2015	1	3	19	50	82	4.4	5.2	0.85	11.43	6.32	279	1024.3	10.5	13.4	999	99	99
2015	1	3	20	50	70	2.8	3.8	0.75	11.43	6.44	294	1024.5	10.9	13.4	999	99	99
2015	1	3	21	50	30	0.9	1.4	0.74	10.81	6.94	261	1024.2	11.5	13.5	999	99	99
2015	1	3	22	50	317	0.9	1.6	0.7	10.81	6.9	280	1024.7	11.7	13.6	999	99	99
2015	1	3	23	50	335	0.7	1.4	0.74	12.12	7.71	266	1025.2	12	13.7	999	99	99
2015	1	4	0	50	349	0.4	0.9	0.79	12.12	7.77	254	1025.2	12	13.7	999	99	99
2015	1	4	1	50	310	1.5	2.1	0.8	12.12	7.84	289	1025.7	12	13.6	999	99	99
2015	1	4	2	50	327	2.2	3	0.75	11.43	7.56	285	1025.7	12	13.5	999	99	99
2015	1	4	3	50	343	1.4	2	0.83	12.12	8.06	295	1025.9	12.1	13.4	999	99	99
2015	1	4	4	50	358	1.7	2.5	0.77	12.12	7.88	288	1025.9	12	13.3	999	99	99
2015	1	4	5	50	68	1.7	2.3	0.73	12.12	7.78	285	1026.6	11.8	13.1	999	99	99
2015	1	4	6	50	62	1.7	2.2	0.77	12.12	8.07	299	1026.7	11.6	13.2	999	99	99
2015	1	4	7	50	76	1.7	2.3	0.73	11.43	7.9	276	1026.8	11.5	13.2	999	99	99
2015	1	4	8	50	86	2.3	3.2	0.73	10.81	7.68	282	1026.5	11.4	13.2	999	99	99
2015	1	4	9	50	86	4.1	5	0.79	11.43	7.78	292	1026.8	11.2	13.3	999	99	99
2015	1	4	10	50	87	3.9	4.7	0.75	12.9	6.92	287	1027.6	10.9	13.3	999	99	99
2015	1	4	11	50	81	5.5	6.4	0.83	12.12	5.74	297	1027.6	11	13.3	999	99	99
2015	1	4	12	50	81	5.3	6.3	0.8	12.9	6.02	286	1027.4	10.8	13.4	999	99	99
2015	1	4	13	50	79	5.6	6.7	0.79	12.9	5	261	1028	10.6	13.3	999	99	99
2015	1	4	14	50	83	7.2	8.4	0.79	12.9	5.03	267	1028.3	10.5	13.2	999	99	99
2015	1	4	15	50	88	7	8.3	0.91	12.9	5.01	300	1028.5	10.3	13.1	999	99	99
2015	1	4	16	50	77	5.9	8.3	0.93	12.9	5.38	277	1029.7	9.9	13	999	99	99
2015	1	4	17	50	70	7.1	8.4	0.98	12.12	5.26	251	1030	11.1	12.8	999	99	99
2015	1	4	18	50	87	7.2	8.9	1	12.12	6.05	270	1029.2	10.9	12.9	999	99	99
2015	1	4	19	50	87	5.9	7.2	1.02	12.12	5.93	285	1029.1	10.9	13	999	99	99
2015	1	4	20	50	95	6.4	7.6	1.05	12.12	5.95	289	1028.5	11.4	13.1	999	99	99
2015	1	4	21	50	79	4.1	5.1	1.19	12.12	7.29	274	1028.6	12.1	13.1	999	99	99
2015	1	4	22	50	77	3.5	4.4	1.15	12.12	8.84	268	1028.9	12.5	13.2	999	99	99
2015	1	4	23	50	81	2.8	3.7	1.2	12.12	9.99	291	1029.1	12.8	13.2	999	99	99
2015	1	5	0	50	328	3.5	4.2	1.07	11.43	9.8	290	1029.3	12.5	13.2	999	99	99
2015	1	5	1	50	343	4	4.7	1.21	11.43	11.06	271	1029	12.6	13.2	999	99	99
2015	1	5	2	50	42	2.9	3.5	1.11	17.39	9.82	273	1028.6	12.5	13.1	999	99	99
2015	1	5	3	50	81	5.3	7.1	1.3	17.39	10.33	290	1028.3	12.6	13.1	999	99	99
2015	1	5	4	50	74	4.6	5.8	1.1	17.39	7.94	308	1028.5	12.6	13.1	999	99	99
2015	1	5	5	50	44	3.8	4.6	1.24	17.39	7.98	266	1028.8	12.8	13.1	999	99	99
2015	1	5	6	50	30	4	5	1.19	17.39	9.04	278	1029	12.6	13.1	999	99	99
2015	1	5	7	50	86	7	8.5	1.28	17.39	9.34	276	1028.4	12.9	13.1	999	99	99
2015	1	5	8	50	24	2.9	3.5	1.23	16	7.52	288	1028.5	12.9	13.2	999	99	99
2015	1	5	9	50	327	1.1	1.9	1.26	16	8.56	269	1028.8	12.8	13.1	999	99	99
2015	1	5	10	50	69	3.6	4.9	1.1	16	8.09	281	1028.6	12.8	13.1	999	99	99
2015	1	5	12	50	81	9	11.9	1.26	16	6.01	282	1027.3	12.8	13.1	999	99	99
2015	1	5	13	50	63	8.5	11.5	1.33	16	6.13	287	1027.4	13.3	13.1	999	99	99
2015	1	5	14	50	66	7.8	9.2	1.28	16	6.54	289	1027.6	13.3	13.2	999	99	99
2015	1	5	15	50	78	10.6	13	1.12	16	5.69	289	1027.2	12.6	13.2	999	99	99
2015	1	5	16	50	78	11.2	13.4	1.15	16	4.81	284	1027.5	12.8	13.3	999	99	99
2015	1	5	17	50	77	8.8	10.2	1.26	16	5.54	270	1027.5	12.8	13.3	999	99	99
2015	1	5	18	50	84	10.2	12.3	1.29	16	5.28	281	1027	13.4	13.4	999	99	99
2015	1	5	19	50	82	9.6	11.4	1.22	16	5.65	275	1026.1	13.8	13.3	999	99	99
2015	1	5	20	50	89	9.3	12	1.12	14.81	5.43	279	1025.3	13.9	13.3	999	99	99
